Ano;Cluster 1;Cluster 2;Cluster 3;Cluster 4;Cluster 5;Cluster 6;Cluster 7
1950;0.5168952196502794;-0.5066198251718836;0.12012866281693402;0.5523129996349465;0.17855998403010556;-0.2421540977255432;0.2577786225835766
1951;-0.15865476391171812;-0.6634746213098576;-0.5606124782053603;0.15268405854097133;-1.193920965809614;-0.8973304317392341;-0.38050250680270625
1952;0.3324112704018958;-0.7172920227723537;0.40002325785311615;-0.10650658573695589;-0.3242697769171624;0.27957139621116217;-0.2530124092536181
1953;0.21271789332460725;-0.6721680117958915;-0.3194808560611815;0.3959486917393652;-0.8825525586368618;-0.5235453304517308;0.8462848853110421
1954;0.15778130453644562;0.23789396825955372;-1.5846942293158632;-0.1883133800654809;-0.7422226116176297;-0.4487891355441602;0.05679932205477173
1955;0.3861378166812706;-0.43932202142283516;-0.17812458084175048;0.05964960288740853;0.04132051991428224;0.16278432929117873;0.3688109131222031
1956;0.5407103828265248;-0.3224645637630757;0.08809043229200475;0.5734734007004064;0.1036064933922082;0.5168569587840062;0.650664742435508
1957;-0.9185219469768686;0.5615896582088893;0.6183272174424439;0.31552331942862666;0.1940499019614634;0.6268105546788496;-0.4107523237800898
1958;-1.0116553218137503;0.01580557982426356;0.26831498383652813;0.45962831522141995;-1.318215364646856;0.4664268962446831;-0.1857257002950685
1959;0.05241840697796876;-0.4276737733378153;-0.34907520648920937;0.3396216869392563;-0.1922332828047162;-0.8941090157929829;-0.019261614468170457
1960;-0.19545840009258703;-0.22940672875544305;0.8171380484922974;0.3257315359985133;-0.030686701372861003;1.0049373713758234;-0.14849377120774454
1961;-0.7649023748199987;0.15652854847645628;-0.13532925770356222;-0.09264946774905827;0.030356596830992594;-1.2444977286348986;0.15838045343632354
1962;0.050358378611998204;-1.285883965046214;1.1266371455738573;-0.07809877084623769;-0.057326382918225824;0.005968032056638803;0.45306728691970743
1963;-0.44814800182074926;-0.27245816762631725;-3.137297756827017;-1.1567081961638672;0.1883893478212142;-0.609157809920267;-0.2333041250040756
1964;-0.26927436250575537;-0.8152831666275533;0.911513608623673;0.027792591648445386;1.1752674717445895;1.2086681989396095;0.15292215331528566
1965;-1.2801032487440835;0.7111802715382851;0.8166874974896169;0.341682081617038;0.0032544976900957256;-0.023492372251953247;0.4411117770303624
1966;-0.06006101897335661;0.02613632579591478;0.47305356203641374;-0.34775765673604253;-0.012046706142507095;0.44725514076871636;-0.27701331003258955
1967;-0.30096696941963846;-0.810171515120574;-0.014902919167547587;-0.5469532277742197;0.7602310187112763;0.3984546024492245;-0.3234227845673754
1968;0.6289374468269142;-1.247734533124313;-0.6722772419001574;-0.23842044533150522;0.2830996254375969;0.6953036367844309;-0.4172702051681201
1969;-0.5521363768810251;-0.524317573884282;-0.5101458735082035;-0.8956316499754138;-0.009980292056535167;0.42121407560174745;-0.4265864234136673
1970;0.6417629910921101;-0.24000861980675023;-0.541391143705197;-0.665041813454175;-0.408259390920595;-0.06077993922588121;-0.12435273912749444
1971;0.8181954239419359;-0.18054044353177534;-0.240910752526225;-0.3408079401877777;0.08047524062139869;-0.4141606738917506;0.48800851900107306
1972;-0.08972564412288625;1.1677218894693653;0.5528759141690456;0.9231952898659326;-0.23953265886695202;-0.19797272904670593;0.03540683649720744
1973;0.8034090111131389;0.45645667809413853;0.2150671393541505;0.48264203186370586;0.9385540988802794;-0.08355644008625884;0.5871968229080866
1974;0.7384866105803944;-0.3635645732558026;-0.3157878991002282;0.9900216552221162;1.5901717610240609;0.795469303800568;0.5241564584018971
1975;0.5626806930525683;-0.1472167705111119;-0.6755242496542929;0.08778934788268618;0.7241748323368308;-0.02540896336945142;0.4376030368979228
1976;-0.18244376654888425;0.4003114391855338;0.5554430154089122;0.44088031053744936;-0.49512317194998046;-0.2911909146734022;0.22532256743131435
1977;0.038763509538422;-0.06635906239577843;-0.3448987197343557;0.7265613759657654;0.6009928961752482;0.5111166312008548;0.36536881970248003
1978;-0.13395026059788773;-1.2928888437219967;0.3950704294218683;0.8379095520481908;0.2513110478016649;0.9858007667924923;0.3877604251614436
1979;-0.04437702836555371;0.004595445820018029;0.9532166592137002;0.3244210583819748;-0.35424703030157445;0.9281645689848969;-0.18261809282303246
1980;-0.6842672033305668;0.16034225186620715;0.5937652115396421;0.9158376198272071;-0.039117207662609066;1.2698088772346645;-0.710773309818338
1981;-0.9164839698289;-0.7819693155544666;0.32964630958892155;0.009597353682434806;-0.9920404060790273;0.055699688062272656;-0.21844044095946688
1982;-0.09075291172168021;0.8530661125378931;0.7589698792197861;0.46712644291676664;-0.4414648580810008;-0.6443297800849104;0.22123070577744375
1983;-1.9529567855953387;1.7172595293280564;2.272605902832142;-0.19885428859471516;-1.6103889229357693;0.3287375922376149;-0.8451457561086729
1984;0.7971459250151861;0.24598593845402905;-0.8149329222247239;-0.5107270564198403;0.5292232561934274;-0.7494953706614803;0.435281829975551
1985;0.8167828865193596;-1.3044333200366478;0.413274213736756;-0.054391839198571934;2.468923124749005;2.0248403560197543;0.008870665208807083
1986;0.21381530232133572;0.26499048432669653;-0.2719795782815787;0.08943409743966192;0.8351690232405345;-0.699329817377617;0.5164549627398202
1987;-0.8987476204324885;0.5671841323969293;0.009117395526840544;-0.33670429419983017;-0.88920808139198;-0.3819855033832463;-0.20931920460093098
1988;1.1629005173259672;-1.0306370276023171;-0.15367025441594862;0.3820012759388254;0.887923628711849;0.1356335660979915;0.28423911984437744
1989;1.1664227367414912;0.12855259033073252;0.5152150960351751;0.7635728036303462;1.3598895772676072;1.1058222184230373;0.3387153904870922
1990;-0.12332982860495206;0.6537062576564322;-1.4355789750473278;-0.2683613231905257;-1.006076657463848;-1.3896937541971952;-0.18169180362061976
1991;-0.4032562386823111;-0.760902919650241;0.5475635049596527;0.16023740445127374;-0.5281690137483352;-0.028413680092605337;-0.47664773655328896
1992;-2.0198645568889053;0.6335603982363717;1.0485276327148696;0.41199862682021293;-0.7327788919218323;1.287125647173644;-0.6087578753806284
1993;0.09014898853399217;0.21333882949745325;-0.6049373478748512;-0.5295068414677193;-1.0832056783452628;-1.7003658103202086;0.40816335949054744
1994;0.6100837396129071;0.03442456384642918;-0.21448370498901526;0.2299637774035832;0.5874933646391105;-0.3592772461704856;0.014707024162126908
1995;0.05519805534623184;-0.27467634512236416;0.05796954540089411;0.34152438593766415;0.4479219872197302;0.3865233612451077;-0.9057171771720783
1996;0.7195170902274873;0.24517538740031847;-0.038076132563897205;-0.15381769141632723;0.3056580790956702;-1.0985360721040325;-0.35701777733246504
1997;-1.2445787297340354;1.085106241170208;0.29828565252869443;0.03265578989676013;-0.23935104345077696;0.5089825938695035;-0.8436932448391147
1998;-0.5945014549426879;1.297769954101455;-0.31756809070007713;-0.4911191346308571;-1.070032392624646;-0.8367277940038234;-1.0124286744037916
1999;0.5595990658236899;-0.8334986371118148;-0.6554843641534609;-0.9433129330098401;0.21250291641257463;0.31601858543907246;-0.012530148959214199
2000;1.1060614897761418;0.32060780962072394;0.32361022059413175;-0.11806648165913203;0.7766632681421899;0.9291130291153156;0.37731214655376744
2001;-0.27264756413089164;0.5602396017140064;-0.7034192160267752;0.10410169954916947;-0.019821162611037543;-0.7176340593466898;0.10812618760035798
2002;-0.28012573256930057;0.6019809884853244;-0.522332298625373;-0.9582064174581061;0.08626909989400293;-0.005181444919097583;0.3986488010790409
2003;-0.606528365017988;0.16906716408362926;-0.3549858710970607;-0.0016566335516823294;-0.20414271632179454;-0.9167425141922091;-0.38043080562767884
2004;-0.19564129980165149;-0.43823567447511447;0.66088973867783;0.2867795241454121;0.7655742291106765;0.6582755282745784;-0.5896506876506121
2005;0.26810825137067584;-0.03872710108490934;0.6781655881768591;-0.15194622205699465;0.014419951905137111;0.5830215765667796;-0.48117719505411244
2006;0.5009365701768038;-0.9027893026631391;0.5324292656543947;0.3075968654933591;0.38672843707359467;0.49997989832939865;0.07605151407115776
2007;0.030011169225054313;0.05428638929911267;-0.8781042952637821;-0.48962545028777676;-0.40860873637139766;-0.9348738137486498;-0.21575884470417075
2008;0.6992529035625819;-0.1361795458289825;0.6388170506131843;0.3094129684848889;0.6249819119732798;0.08707285351058713;0.2491200293504615
2009;0.2674084696087795;1.1627790733562948;1.070841199140245;0.3172354193207465;1.024863050705764;0.45442519269376647;0.9845397782475385
2010;0.10678822133346677;0.36262891017249327;-0.27586100191715207;-0.9059021869094557;-0.3129051618999114;-0.13539183528057522;-0.2794845948179378
2011;0.8579342727157259;0.19722097023911248;0.6849073564422694;0.1965470219571058;0.7634335321007886;0.20629793841912142;0.13022638050634372
2012;0.05780410368524258;-0.46545005720391464;-0.5346698489795192;-0.615521773310883;-1.230405137186207;-1.5080439597980277;0.5413223189270824
2013;0.6123587347179006;0.22662641418984578;0.3533342305365019;-0.15962565396086884;-0.1920691267017046;0.3148980810784099;0.6262966282004128
2014;0.2100949285395742;0.7872842887748803;-1.6126445552244155;-0.06611994657868492;0.08936168942885304;-0.4400110630920343;0.6178739535088698
2015;-1.0454377997467628;1.6559880302228258;-0.8653463104040391;-1.6628177209048767;-1.2509470064113533;-1.556634397866795;-0.5075152530077733
2016;0.2584492682116279;0.35546859946044645;-0.4824971039069598;-0.6870617550166155;-0.8007986527097082;-0.5465737759279599;-0.7596581884483209
